cliente_id,nombre,segmento,score_credito,fecha_alta,ciudad
1,Kevin Hall,gold,459,2023-02-03,New Eduardoborough
2,Jeremy Cruz,bronze,527,2024-07-02,Henryfurt
3,Daryl Hall,gold,693,2024-10-22,New Michaelstad
4,Angela Orozco,gold,806,2025-05-22,Port Madison
5,Holly Anderson,gold,594,2025-10-03,Annastad
6,Terry Buckley,gold,649,2022-08-01,West Jared
7,John Dickerson,silver,326,2022-09-17,Guzmanbury
8,Mr. James Johnson,bronze,826,2023-12-28,New Victoriastad
9,Elizabeth Johnson,bronze,518,2024-12-03,Saramouth
10,Scott Wade,silver,485,2025-06-11,Matthewberg
11,Erica Lewis,silver,458,2022-05-23,West Dakotamouth
12,Patrick Smith,bronze,750,2021-10-08,Port Thomaston
13,Catherine Diaz,gold,306,2021-05-08,Johnfort
14,Jessica Garrett,gold,727,2025-10-21,Mclaughlinberg
15,Elizabeth Ortiz,bronze,844,2023-08-24,Suarezfurt
16,Tracy Lewis,gold,468,2023-02-22,Yvonnemouth
17,Timothy Calhoun,bronze,307,2024-09-30,Underwoodfurt
18,Hannah Lozano,silver,472,2023-08-06,Millerbury
19,Joseph Young,gold,765,2024-10-14,Cooperside
20,Nicole Campos,gold,428,2025-10-05,South Michael
21,Jacob Carpenter,gold,342,2022-10-05,North Tammy
22,Tyler Madden,gold,428,2021-10-07,New Megan
23,Christopher Wilson,bronze,457,2026-02-22,Gutierrezberg
24,Beverly Mccoy,silver,814,2023-12-28,South Samantha
25,Deborah Bryant,bronze,732,2022-09-10,Erikaport
26,Willie Merritt,silver,779,2024-06-10,North Shawn
27,Allen Bryant,silver,824,2021-06-08,Leslieport
28,Joseph Johnson,silver,712,2021-05-14,Annamouth
29,Thomas Lang,silver,823,2025-08-07,Griffithstad
30,Shannon Bass,silver,421,2024-06-26,East Eric
31,Vicki Bryant,silver,844,2022-06-01,Wilsonfurt
32,Jeff Hancock,gold,813,2021-09-10,Royport
33,Loretta Howard,bronze,496,2024-06-04,New Garrett
34,Sharon Turner,bronze,538,2024-04-30,New Carl
35,Robert Meyer,silver,515,2025-05-06,Jamesland
36,Michael Ramirez,bronze,377,2022-10-21,Lake Mary
37,Glenn Brown,bronze,354,2021-04-13,East Danielbury
38,Holly Lawrence,silver,429,2021-07-29,Aarontown
39,Daniel Gray,bronze,529,2021-04-30,Phillipsshire
40,Ronnie Schmidt,bronze,773,2024-12-22,Huntermouth
41,Scott Ramirez,gold,625,2023-10-04,Michaelstad
42,Jerry Richardson,gold,826,2023-04-15,New Jennifer
43,Dustin Young,silver,830,2021-07-23,Courtneyhaven
44,Theresa Brown,silver,450,2025-01-01,Strongtown
45,David Foley,bronze,359,2023-08-14,South Albert
46,Brian Gutierrez,bronze,584,2021-09-04,Millerberg
47,Anthony Turner,silver,333,2024-05-28,Flemingborough
